line,Name,genres
7.0,Talking Movies,"Sure, the genres for the TV show/film are:

1. Documentary
2. Comedy
3. Drama"
8.0,Sportsday,"Sure, here are the 3 genres for the TV show/film:

1. Sports
2. Documentary
3. Reality"
2.0,The World Today with Maryam Moshiri,"Sure, here are the 3 genres for the TV show/film:

1. News
2. Documentary
3. Current Affairs"
6.0,BBC News,"Sure, here are the 3 genres for the TV show/film:

1. News
2. Current Affairs
3. Documentary"
1.0,Business Today,"Sure, here are the 3 genres for the TV show/film:

1. Business News
2. Documentary
3. News"
3.0,Business Today,"Sure, here are the 3 genres for the TV show/film:

1. Business News
2. Documentary
3. Comedy"
4.0,BBC News,"Sure, here are 3 genres for the TV show/film:

1. News
2. Current Affairs
3. Entertainment"
5.0,Verified Live,"Sure, here are the 3 genres for the TV show/film:

1. News
2. Current Affairs
3. Documentary"
12.0,Programos pabaiga,"No Description, Unknown, Unknown"
9.0,The Context,"Sure, here are the 3 genres for the TV show/film:

1. News Program
2. Current Affairs
3. Interview"
11.0,Žemiau denio. Viduržemio jūra,"Sure, here are 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Science Fiction"
10.0,Mentalistas,"Sure, here are 3 genres for the TV show/film:

1. Crime drama
2. Mystery
3. Dark comedy"
13.0,Vandens policija,"Sure, here are the 3 genres for the TV show/film:

1. Crime drama
2. Thriller
3. Drama"
14.0,Mirtinas ginklas,"Sure, here are the 3 genres for the TV show/film:

1. Crime
2. Drama
3. Fantasy"
16.0,Palaiminti dvasią,"Sure, here are the 3 genres for the TV show/film:

1. Drama
2. Fantasy
3. Comedy"
18.0,Smagioji iškyla,"Sure, the genres for the TV show/film are:

1. Comedy
2. Drama
3. Music"
15.0,Kaupikai,"Sure, here are 3 genres for the TV show/film:

1. **Documentary**
2. **Drama**
3. **Horror**"
22.0,Nediplomatinis pokalbis,"No Description, Unknown, Unknown"
23.0,Verslūs tėvai,"No Description, Unknown, Unknown"
17.0,Meilė yra meilė yra meilė. Trys istorijos,"Sure, the genres of the TV show/film are:

1. Drama
2. Romance
3. Comedy"
19.0,Baudžiauninkė,"Sure, here are the 3 genres for the TV show/film:

1. Drama
2. Fantasy
3. Comedy"
24.0,Švenčių ciklas: Kūčios,"No Description, Unknown, Unknown"
20.0,Pabėgėlė,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Romance
3. Drama"
21.0,Nučiuožęs,"Sure, the genres for the TV show/film are:

1. Comedy
2. Drama
3. Romance"
25.0,Svajonių šalis,"Sure, here are 3 genres for the TV show/film:

1. Drama
2. Comedy
3. Crime"
27.0,Bloomberg Markets,"Sure, here are the 3 genres for the TV show/film:

1. Business News
2. Documentary
3. Financial"
26.0,Moterų daktaras. Naujas gyvenimas,"Sure, here are 3 genres for the TV show/film:

1. Drama
2. Comedy
3. Science fiction"
28.0,Bloomberg Wall Street Week,"Sure, here are the 3 genres for the TV show/film:

1. Business/Finance
2. Documentary
3. Current Affairs"
29.0,Bloomberg Originals,"Sure, the genres for the TV show/film are:

1. Documentary
2. Science fiction
3. Sports"
31.0,My Cat from Hell,"Sure, here are the 3 genres for the TV show/film:

1. **Reality Show**
2. **Animal Behavior**
3. **Comedy**"
30.0,DJ klubas,"Sure, the genres of the TV show/film are:

1. Lithuanian music
2. Comedy
3. Drama"
33.0,Animal Cops: Philadelphia,"Sure, here are the 3 genres for the TV show/film:

1. Drama
2. Documentary
3. Action"
32.0,Dogs: The Untold Story,"Sure, here are the 3 genres for this TV show/film:

1. Documentary
2. Educational
3. Animal"
36.0,Amanda to the Rescue,"Sure, here are the 3 genres for the TV show/film:

1. Drama
2. Comedy
3. Animal"
34.0,Meet the Orangutans,"Sure, here are the 3 genres for the TV show/film:

1. **Drama**
2. **Documentary**
3. **Comedy**"
38.0,Animal Cops: Philadelphia,"Sure, here are the 3 genres for the TV show/film:

1. Documentary
2. Crime
3. Animal"
35.0,Pit Bulls & Parolees: Tia's Tales,"Sure, here are 3 genres for the TV show/film:

1. **Drama**
2. **Documentary**
3. **Action**"
37.0,The Aquarium,"Sure, here are the 3 genres for the TV show/film:

1. Reality-documentary
2. Drama
3. Comedy"
40.0,Antrininkas,"Sure, here are the 3 genres for the TV show/film:

1. Science fiction
2. Mystery
3. Drama"
39.0,The World Today with Maryam Moshiri,"Sure, here are the 3 genres for the TV show/film:

1. News
2. Documentary
3. Current Affairs"
41.0,Be kompromisų,"Sure, here are the 3 genres for the TV show/film:

1. Crime
2. Drama
3. Thriller"
43.0,Good Night Hugs,"Sure, the genres of the TV show/film are:

1. Children's entertainment
2. Educational
3. Music video"
42.0,Rise & Shine with BabyTV Friends,"Sure, here are the 3 genres for this TV show/film:

1. Children's animation
2. Music videos
3. Educational"
45.0,Dreamy Nights,"Sure, here are the 3 genres for the TV show/film:

1. Children's entertainment
2. Educational
3. Animation"
44.0,"Art, Activity & Music Time","Sure, here are the 3 genres for the TV show/film:

1. Children's Education
2. Children's Music
3. Children's Adventure"
46.0,Sweet Dreams,"Sure, the genres of the TV show/film are:

1. Children's music
2. Classical music
3. Animation"
47.0,Teeny and Tiny's Classroom,"Sure, the genres of the TV show/film are:

1. Educational
2. Children's
3. Comedy"
48.0,Guessing Games with Jump Out of Bed Sleepy Head & Friends,"Sure, here are the 3 genres for the TV show/film:

1. Children's
2. Educational
3. Cartoons"
49.0,Sweet Dreams,"Sure, here are the 3 genres for the TV show/film:

1. Children's music
2. Classical music
3. Animation"
50.0,Charlie & the Numbers,"Sure, here are the 3 genres for the TV show/film:

1. Children's Education
2. Educational
3. Music"
51.0,Good-Morning Stretch,"Sure, the genres of the TV show/film are:

1. Children's comedy
2. Educational
3. Cartoons"
52.0,Click,"Sure, here are the 3 genres for the TV show/film:

1. Science Fiction
2. Technology
3. Documentary"
53.0,BBC News,"Sure, here are the 3 genres for the TV show/film:

1. News
2. Sports
3. Current Affairs"
55.0,Running as One,"Sure, here are the 3 genres for the TV show/film:

1. Sports
2. Drama
3. Documentary"
54.0,BBC World News America,"Sure, here are the 3 genres for the TV show/film:

1. News
2. Current Affairs
3. International Relations"
56.0,Tech Now,"Sure, here are the 3 genres for the TV show/film:

1. Technology
2. Science Fiction
3. Documentary"
57.0,Business Today Asia,"Sure, here are the 3 genres for the TV show/film:

1. Business News
2. Documentary
3. News"
58.0,BBC News Now,"Sure, here are the 3 genres for the TV show/film:

1. News
2. Current Affairs
3. Documentary"
60.0,BBC World News America,"Sure, the genres of the TV show/film are:

1. News
2. Current Affairs
3. International Relations"
63.0,Exploring with Jungle Book,"No Description, Unknown, Unknown"
59.0,BBC News,"Sure, here are the 3 genres for the TV show/film:

1. News
2. Current Affairs
3. Entertainment"
61.0,Iškvietimas,"Sure, here are 3 genres for the TV show/film:

1. Drama
2. Science fiction
3. Horror"
62.0,Dreamy Nights,"Sure, here are the 3 genres for the TV show/film:

1. Children's animation
2. Educational
3. Fantasy"
64.0,Dreamy Nights,"Sure, the genres of the TV show/film are:

1. Children's entertainment
2. Animation
3. Music video"
67.0,Walter & Dude and Other Stories,"No Description, Unknown, Unknown"
66.0,Moon and Stars,"Sure, the genres of the TV show/film are:

1. Children's animation
2. Educational
3. Music videos"
65.0,Family Fun Time & Rhymes,"Sure, here are the 3 genres for the TV show/film:

1. Children's entertainment
2. Educational
3. Cartoons"
68.0,Imagination Playground,"The genres of the TV show/film are:

1. Children's comedy
2. Educational
3. Music video"
69.0,"Art, Creativity & Music with BabyTV","Sure, here are the 3 genres for the TV show/film:

1. Children's entertainment
2. Educational
3. Music video"
71.0,Šventoji Judy,"Sure, here are the 3 genres for the TV show/film:

1. Drama
2. Comedy
3. Crime"
72.0,Paskutiniai žvilgsniai,"Sure, the genres of the TV show/film are:

1. Drama
2. Comedy
3. Crime"
70.0,Magical First Discoveries,"Sure, here are 3 genres for the TV show/film:

1. Educational
2. Children's
3. Animation"
74.0,Šeima,"Sure, here are the 3 genres for the TV show/film:

1. Crime drama
2. Thriller
3. Romance"
77.0,Guessing Games with the Egg Band & Friends,"No Description, Unknown, Unknown"
73.0,Spenceris,"Sure, here are 3 genres for the TV show/film:

1. Drama
2. Fantasy
3. Romance"
75.0,Kas namie šeimininkas?,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Fantasy"
76.0,Mano virtuvė geriausia,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Reality Show"
78.0,Good Night Hugs,"Sure, the genres of the TV show/film are:

1. Children's Music
2. Children's Drama
3. Children's Educational"
79.0,My Cat from Hell,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Animation"
80.0,Pit Bulls & Parolees,"Sure, here are 3 genres for the TV show/film:

1. Animal Welfare
2. Reality TV
3. Drama"
81.0,My Cat from Hell,"Sure, here are the 3 genres for this TV show/film:

1. Family drama
2. Comedy
3. Mystery"
82.0,Tanked,"Sure, here are the 3 genres for the TV show/film:

1. Sports Documentary
2. Documentary
3. Reality Show"
83.0,How Do Animals Do That,"Sure, here are the 3 genres for the TV show/film:

1. **Nature Documentary**
2. **Science Documentary**
3. **Explanatory Documentary**"
84.0,Tanked,"Sure, here are 3 genres for the TV show/film:

1. **Lifestyle**
2. **Nature**
3. **Sports**"
85.0,The Deal with Alex Rodriguez and Jason Kelly,"Sure, here are the 3 genres for the TV show/film:

1. Business
2. Sports
3. Documentary"
87.0,Bloomberg Markets,"Sure, here are 3 genres for the TV show/film:

1. Finance
2. Business
3. News"
86.0,Bloomberg Markets: The Close,"Sure, here are the 3 genres for the TV show/film:

1. Financial Documentary
2. News Program
3. Reality Show"
88.0,Маэстро,"Sure, here are 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Thriller"
89.0,Демоны,"Sure, here are 3 genres for the TV show/film:

1. Crime drama
2. Thriller
3. Mystery"
90.0,Консультант,"Sure, here are 3 genres for the TV show/film:

1. Crime drama
2. Psychological thriller
3. Historical drama"
91.0,Горячая точка,"Sure, here are 3 genres for the TV show/film:

1. Thriller
2. Crime Drama
3. Action"
92.0,Секрет майя,"Sure, here are the 3 genres for the show/film:

1. Drama
2. Thriller
3. Crime"
93.0,My Cat from Hell,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Mystery"
94.0,Crikey! It's the Irwins,"Sure, here are the 3 genres for the TV show/film:

1. **Nature Documentary**
2. **Reality TV**
3. **Family Drama**"
95.0,Business Today,"Sure, here are 3 genres for the TV show/film:

1. Business News
2. Documentary
3. Current Affairs"
97.0,Mano vardas – Viltis,"Sure, here are the 3 genres for the TV show/film:

1. Drama
2. Romance
3. Crime"
96.0,Šokis svajonės ritmu,"Sure, here are 3 genres for the TV show/film:

1. Drama
2. Comedy
3. Romance"
98.0,Bloomberg Surveillance,"Sure, here are the 3 genres for the TV show/film:

1. Business News
2. Economics
3. Financial Journalism"
99.0,Idea Generation,"Sure, here are 3 genres for the TV show/film:

1. **Documentary**
2. **Science fiction**
3. **Comedy**"
100.0,Next Big Risk,"Sure, here are the three genres for the TV show/film:

1. Business
2. Comedy
3. Drama"
101.0,Bloomberg Daybreak: Europe,"Sure, here are the 3 genres for the TV show/film:

1. Business News
2. Economics
3. Finance"
102.0,Bloomberg: The China Show,"Sure, here are the 3 genres for the TV show/film:

1. Business
2. Economics
3. News"
104.0,Консультант,"Sure, here are 3 genres for the TV show/film:

1. Thriller
2. Crime drama
3. Mystery"
103.0,Тёмные лабиринты прошлого,"Sure, here are 3 genres for the TV show/film:

1. Drama
2. Thriller
3. Mystery"
105.0,Почта,"Sure, here are 3 genres for the show/film:

1. Romantic comedy
2. Drama
3. Family drama"
107.0,Почта,"Sure, here are 3 genres for the TV show/film:

1. Romantic Comedy
2. Drama
3. Family Drama"
106.0,The Travel Show,"Sure, here are the 3 genres for the TV show/film:

1. Travel
2. Documentary
3. Reality"
108.0,From Night to Day,"Sure, the genres for the TV show/film are:

1. Children's music
2. Educational
3. Cartoony"
109.0,Rise & Shine with BabyTV Friends,"Sure, the genres of the TV show/film are:

1. Children's animation
2. Educational
3. Music video"
110.0,From Night to Day,"Sure, the genres of the TV show/film are:

1. Children's Music
2. Children's Educational
3. Children's Drama"
115.0,Play & Learn with Songs & Rhymes,"No Description, Unknown, Unknown"
111.0,Dreamy Nights,"Sure, here are the 3 genres for the TV show/film:

1. Children's entertainment
2. Educational
3. Animation"
112.0,Sweet Dreams,"Sure, the genres of the TV show/film are:

1. Children's programme
2. Classical music
3. Animation"
113.0,Relax and Unwind,"Sure, here are the 3 genres for the TV show/film:

1. Children's entertainment
2. Educational
3. Animation"
114.0,Classical Music & Soothing Stories,"Sure, here are the 3 genres for the TV show/film:

1. Children's music
2. Children's stories
3. Educational"
116.0,Dingęs princas,"Sure, here are 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Fantasy"
118.0,Priešai,"1. Drama
2. Horror
3. Thriller"
117.0,Tūzas,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Crime"
119.0,Демоны,"Sure, here are 3 genres for the TV show/film:

1. Crime drama
2. Post-apocalyptic thriller
3. Crime satire"
120.0,Демоны,"Sure, here are 3 genres for the TV show/film:

1. Crime drama
2. Revenge thriller
3. Crime noir"
121.0,Отважные,"Sure, here are 3 genres for the TV show/film:

1. Crime drama
2. Thriller
3. Feminist drama"
122.0,Šuns tikslas,"Sure, here are 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Fantasy"
123.0,Greitojo reagavimo būrys,"Sure, here are 3 genres for the TV show/film:

1. Crime drama
2. Comedy
3. Romance"
124.0,Ekstrasensų mūšis,"Sure, here are the 3 genres for the TV show/film:

1. Horror
2. Mystery
3. Supernatural"
125.0,Amerikietiškos imtynės NXT,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Sports
3. Drama"
126.0,Pričiupom!,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Satirical comedy"
127.0,44 skyrius,"Sure, here are the 3 genres for the TV show/film:

1. Mystery
2. Thriller
3. Drama"
128.0,Miško atspalviai,"Sure, the genres of the show are:

1. Drama
2. Comedy
3. Fantasy"
130.0,Kaimynų karai,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Reality"
129.0,Šviežias kraujas,"Sure, here are 3 genres for the TV show/film:

1. Crime
2. Comedy
3. Drama"
132.0,Lego meistrai,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Animation"
131.0,Ypatinga užduotis,"Sure, here are 3 genres for the TV show/film:

1. Crime drama
2. Action thriller
3. Drug trafficking"
133.0,Lombardo ereliai,"Sure, here are 3 genres for the TV show/film:

1. Drama
2. Comedy
3. Sci-Fi"
138.0,Play & Learn with Olly,"No Description, Unknown, Unknown"
134.0,Soothing Sounds,"Sure, the genres for this TV show/film are:

1. Children's music
2. Fantasy
3. Animation"
135.0,Спецы,"Sure, here are 3 genres for the TV show/film:

1. Crime drama
2. Thriller
3. Mystery"
137.0,Kaimynų karai,"Sure, here are 3 genres for the TV show/film:

1. **Drama**
2. **Comedy**
3. **Reality**"
136.0,Betsafe-LKL čempionatas,"Sure, here are 3 genres for the TV show/film:

1. Comedy
2. Sports
3. Drama"
139.0,Magical First Discoveries,"Sure, here are the 3 genres for the TV show/film:

1. Educational
2. Children's
3. Animation"
140.0,Imagination Playground,"Sure, here are the 3 genres for the TV show/film:

1. Children's Music
2. Educational
3. Comedy"
142.0,Exploring with Songs & Rhymes,"Sure, the genres for this TV show/film are:

1. Children's entertainment
2. Educational
3. Music"
141.0,"Art, Creativity & Music with BabyTV","Sure, here are 3 genres for the TV show/film:

1. Children's Music
2. Nursery Rhymes
3. Educational"
147.0,Nenuobo2,"No Description, Unknown, Unknown"
143.0,Tutti Frutti and other stories,"Sure, here are the 3 genres for the TV show/film:

1. Musical comedy
2. Family comedy
3. Children's comedy"
144.0,"Art, Activity & Music Time","Sure, here are the 3 genres for the TV show/film:

1. Children's Education
2. Music and Dance
3. Animation"
145.0,Sweet Dreams,"Sure, here are the 3 genres for the TV show/film:

1. Children's programme
2. Classical music
3. Animation"
146.0,Sweet Dreams,"Sure, here are the 3 genres for the TV show/film:

1. Children's Programme
2. Classical Music
3. Animation"
148.0,Insane Pools Off the Deep End,"Sure, here are the 3 genres for the TV show/film:

1. **Reality TV**
2. **Home Improvement**
3. **Drama**"
149.0,Crikey! It's the Irwins,"Sure, here are the 3 genres for the TV show/film:

1. Wildlife Documentary
2. Reality TV
3. Family Drama"
151.0,Animal Cops: Philadelphia,"Sure, here are the 3 genres for the TV show/film:

1. Documentary
2. Drama
3. Crime"
150.0,Dr. Jeff: Rocky Mountain Vet,"Sure, here are the 3 genres for the TV show/film:

1. Drama
2. Comedy
3. Animal"
152.0,Monsters Inside Me,"Sure, here are the 3 genres for the TV show/film:

1. Medical Documentary
2. Horror
3. Documentary"
153.0,Rugged Justice,"Sure, here are the three genres for the TV show/film:

1. Action
2. Drama
3. Thriller"
154.0,Treehouse Masters,"Sure, here are the 3 genres for the TV show/film:

1. Reality TV
2. Education
3. Nature"
155.0,Kažkur ten,"Sure, here are the 3 genres for this TV show/film:

1. Drama
2. Comedy
3. Science Fiction"
156.0,Танцы марионеток,"1. Comedy
2. Drama
3. Romance"
157.0,Контакт,"1. Sci-fi
2. Thriller
3. Drama"
158.0,Newsday,"Sure, here are the 3 genres for the TV show/film:

1. News
2. Current Affairs
3. International Relations"
159.0,HARDtalk,"Sure, here are the 3 genres for the TV show/film:

1. Political Documentary
2. Interview Show
3. Cultural Program"
160.0,Click,"1. Technology News
2. Documentary
3. Current Affairs"
161.0,Sportsday,"Sure, here are the 3 genres for the TV show/film:

1. Sports journalism
2. Sports drama
3. Sports documentary"
162.0,Didysis turas,"Sure, the genres of the show are:

1. Comedy
2. Drama
3. Science fiction"
164.0,BabyTV's Night Time Melodies,"Sure, the 3 genres for this TV show/film are:

1. Children's Music
2. Animation
3. Relaxation"
163.0,Classical Music & Soothing Stories,"Sure, here are the 3 genres for this TV show/film:

1. Children's music
2. Children's stories
3. Educational"
165.0,Walter & Dude and Other Stories,"Sure, here are the 3 genres for the TV show/film:

1. Children's
2. Comedy
3. Music"
167.0,Varnas ir Žvirblis,"Sure, here are 3 genres for the TV show/film:

1. Drama
2. Fantasy
3. Science fiction"
168.0,Bloomberg the Asia Trade,"1. Business News
2. Economics
3. Documentary"
166.0,My Cat from Hell,"Sure, here are the 3 genres for the TV show/film:

1. **Comedy**
2. **Drama**
3. **Action**"
169.0,Bloomberg Brief,"Sure, here are the 3 genres for the TV show/film:

1. Business
2. News
3. Analysis"
170.0,Inside Adani: A Bloomberg Exclusive,"Sure, here are the 3 genres for the TV show/film:

1. Business Documentary
2. Family Business
3. Corporate Documentary"
171.0,Bloomberg Open Interest,"Sure, here are the 3 genres for the TV show/film:

1. Business News
2. Financial News
3. News"
174.0,Bloomberg Wall Street Week,"1. Business News
2. Economics
3. Documentary"
172.0,Bloomberg Investigates,"Sure, here are the three genres for the TV show/film:

1. Crime
2. Drama
3. Mystery"
173.0,Bloomberg Primer,"1. Science Fiction
2. Documentary
3. Technology"
175.0,Сердце следователя,"Sure, here are 3 genres for the TV show/film:

1. Crime drama
2. Thriller
3. Mystery"
176.0,Asia Business Report,"Sure, here are the 3 genres for the TV show/film:

1. Business News
2. Documentary
3. Current Affairs"
177.0,CSI kriminalistai,"Sure, here are the 3 genres for the TV show/film:

1. Crime drama
2. Mystery
3. Thriller"
178.0,Spec. būrys. Išlieka stipriausi. Australija,"Sure, here are 3 genres for the TV show/film:

1. Horror
2. Drama
3. Comedy"
179.0,Mano virtuvė geriausia,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Reality TV"
180.0,Dreamy Nights,"Sure, the genres of the TV show/film are:

1. Children's entertainment
2. Educational
3. Animation"
182.0,Farų karai. Charkivas,"1. Dramas
2. Sitcomas
3. Horror"
181.0,Mano virtuvė geriausia,"Sure, here are 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Reality TV"
183.0,Šilta vietelė,"Sure, here are the 3 genres for the TV show/film:

1. Crime drama
2. Thriller
3. Action"
184.0,Teisingumo agentai,"Sure, here are the 3 genres for the TV show/film:

1. Crime drama
2. Mystery
3. Drama"
185.0,Good-Morning Stretch,"Sure, the genres of the TV show/film are:

1. Children's entertainment
2. Educational children's programming
3. Cartoons"
186.0,Family Fun Time & Rhymes,"Sure, here are the 3 genres for the TV show/film:

1. Children's Entertainment
2. Educational
3. Cartoons"
187.0,Good-Morning Stretch,"Sure, the genres of the TV show/film are:

1. Children's entertainment
2. Educational
3. Music video"
188.0,Zoltan the Wolfman,"Sure, here are the 3 genres for the TV show/film:

1. Nature/Wildlife
2. Documentary
3. Animal Training"
189.0,Click,"Sure, here are the 3 genres for the TV show/film:

1. Technology
2. News
3. Entertainment"
190.0,Focus on Africa,"Sure, here are 3 genres for the TV show/film:

1. News
2. Sports
3. Business"
192.0,Focus on Africa,"Sure, the genres of the TV show/film are:

1. News
2. Sports
3. Business"
191.0,HARDtalk,"Sure, here are the 3 genres for the TV show/film:

1. Interview Show
2. Political Documentary
3. Current Affairs"
193.0,Pirkėjų karai,"Sure, here are the 3 genres for the TV show/film:

1. Drama
2. Comedy
3. Fantasy"
194.0,Kompromatas,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Satire"
195.0,Mano virtuvė geriausia,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Reality"
196.0,Moon and Stars,"Sure, the genres of the TV show/film are:

1. Children's animation
2. Educational
3. Sleep animation"
197.0,Imagination Playground,"Sure, here are the 3 genres for the TV show/film:

1. Children's comedy
2. Educational
3. Music video"
198.0,HARDtalk,"Sure, here are the 3 genres for the TV show/film:

1. Interview Show
2. Cultural Program
3. Political Documentary"
199.0,Talking Movies,"Sure, here are the 3 genres for the TV show/film:

1. Documentary
2. Drama
3. Comedy"
200.0,Verified Live,"Sure, here are the 3 genres for the TV show/film:

1. News
2. Current Affairs
3. Documentary"
201.0,Hello World,"Sure, here are the 3 genres for the TV show/film:

1. Science Fiction
2. Documentary
3. Drama"
202.0,Best of the Global Business Forum 2024,"Sure, here are 3 genres for the TV show/film:

1. Business
2. Political
3. Documentary"
203.0,Bloomberg Markets: Today,"Sure, here are 3 genres for the TV show/film:

1. Business News
2. Economics
3. Financial Journalism"
204.0,Bloomberg Technology,"Sure, here are the 3 genres for the TV show/film:

1. Technology
2. Business
3. News"
206.0,The Pulse with Francine Lacqua,"Sure, here are the 3 genres for the TV show/film:

1. Business
2. Political
3. Entertainment"
205.0,Power Players,"Sure, here are the 3 genres for the TV show/film:

1. Sports drama
2. Sports documentary
3. Coming-of-age"
207.0,Контакт,"Sure, here are 3 genres for the TV show/film:

1. Thriller
2. Sci-fi
3. Drama"
208.0,Rise & Shine with BabyTV Friends,"Sure, here are the 3 genres for this TV show/film:

1. Children's animation
2. Educational
3. Music video"
209.0,Moon and Stars,"Sure, the genres of the TV show/film are:

1. Children's animation
2. Educational
3. Fantasy"
216.0,Moterų daktaras. Naujas gyvenimas,"No Description, Unknown, Unknown"
210.0,Imagination Playground,"Sure, here are the 3 genres for the TV show/film:

1. Children's Education
2. Children's Music
3. Children's Adventure"
217.0,Šeimos konsultantė,"No Description, Unknown, Unknown"
